,so2
0,-0.00016137768398037238
1,-0.00016137768398037238
2,-0.00016137768398037238
3,-0.00016137768398037238
4,-0.00016137768398037238
5,-0.00016137768398037238
6,-0.00016137768398037238
7,-0.00016137768398037238
8,-0.00016137768398037238
9,-0.00016137768398037238
10,-0.00016137768398037238
11,-0.00016137768398037238
12,-0.00016137768398037238
13,-0.00016137768398037238
14,-0.00016137768398037238
15,-0.00016137768398037238
16,-0.00016137768398037238
17,-0.00016137768398037238
18,-0.00016137768398037238
19,-0.00016137768398037238
20,-0.00016137768398037238
21,-0.00016137768398037238
22,-0.00016137768398037238
23,-0.00016137768398037238
24,-0.00016137768398037238
25,-0.00016137768398037238
26,-0.00016137768398037238
27,-0.00016137768398037238
28,-0.00016137768398037238
29,-0.00016137768398037238
30,-0.00016137768398037238
31,-0.00016137768398037238
32,-0.00016137768398037238
33,-0.00016137768398037238
34,-0.00016137768398037238
35,-0.00016137768398037238
36,-0.00016137768398037238
37,-0.00016137768398037238
38,-0.00016137768398037238
39,-0.00016137768398037238
40,-0.00016137768398037238
41,-0.00016137768398037238
42,-0.00016137768398037238
43,-0.00016137768398043686
44,-0.00016137768398043686
45,-0.00016137768398043686
46,-0.00016137768398043686
47,-0.00016137768398043686
48,-0.00016137768398043686
49,-0.00016137768398043686
50,-0.00016137768398043686
51,-0.00016137768398043686
52,-0.00016137768398043686
53,-0.00016137768398043686
54,-0.00016137768398043686
55,-0.00016137768398043686
56,-0.00016137768398043686
57,-0.00016137768398043686
58,-0.00016137768398043686
59,-0.00016137768398043686
60,-0.00016137768398043686
61,-0.00016137768398043686
62,-0.00016137768398043686
63,-0.00016137768398043686
64,-0.00016137768398043686
65,-0.00016137768398043686
66,-0.00016137768398043686
67,-0.00016137768398043686
68,-0.00016137768398043686
69,-0.00016137768398043686
70,-0.00016137768398043686
71,-0.00016137768398043686
72,-0.00016137768398043686
73,-0.00016137768398043686
74,-0.00016137768398043686
75,-0.00016137768398043686
76,-0.00016137768398043686
77,-0.00016137768398043686
78,-0.00016137768398043686
79,-0.00016137768398043686
