,street_width,street_traffic,street_lane,street_orientation
0,44.0,4.0,4.0,1.0
1,44.0,4.0,4.0,1.0
2,31.0,1.0,2.3333333,1.0
3,31.0,1.0,2.3333333,1.0
4,31.0,1.0,2.3333333,1.0
5,31.0,1.0,2.3333333,1.0
6,36.0,1.0,3.0,1.0
7,36.0,1.0,3.0,1.0
8,36.0,1.0,3.0,1.0
9,36.0,1.0,3.0,1.0
10,33.5,1.0,2.6666667,1.0
11,33.5,1.0,2.6666667,1.0
12,33.5,1.0,2.6666667,1.0
13,36.0,1.0,3.0,1.0
14,36.0,1.0,3.0,1.0
15,36.0,1.0,3.0,1.0
16,36.0,1.0,3.0,1.0
17,36.0,1.0,3.0,1.0
18,34.0,1.0,3.142857,1.0
19,34.0,1.0,3.142857,1.0
20,34.0,1.0,3.142857,1.0
21,34.0,1.0,3.142857,1.0
22,34.0,1.0,3.142857,1.0
23,34.0,1.0,3.142857,1.0
24,36.0,1.0,3.0,1.0
25,36.0,1.0,3.0,1.0
26,36.0,1.0,3.0,1.0
27,36.0,1.0,3.0,1.0
28,0.0,-1.0,0.0,-1.0
29,36.0,1.0,3.0,1.0
30,36.0,1.0,3.0,1.0
31,36.0,1.0,3.0,1.0
32,36.0,1.0,3.0,1.0
33,36.0,1.0,3.0,1.0
34,36.0,1.0,3.0,1.0
35,36.0,1.0,3.0,1.0
36,36.0,1.0,3.0,1.0
37,36.0,1.0,3.0,1.0
38,36.0,1.0,3.0,1.0
39,36.0,1.0,3.0,1.0
40,30.0,3.0,4.0,0.0
41,30.0,3.0,4.0,0.0
42,30.0,3.0,4.0,0.0
43,30.0,3.0,4.0,0.0
44,30.0,3.0,4.0,0.0
45,30.0,3.0,4.0,0.0
46,30.0,3.0,4.0,0.0
47,30.0,3.0,4.0,0.0
48,30.0,3.0,4.0,0.0
49,32.0,3.0,4.0,0.0
50,34.0,3.0,4.0,1.0
51,34.0,3.0,4.0,1.0
52,34.0,3.0,4.0,1.0
53,30.0,3.0,4.0,0.0
54,30.0,3.0,4.0,0.0
55,30.0,3.0,4.0,0.0
56,30.0,3.0,4.0,0.0
57,30.0,3.0,4.0,0.0
58,30.0,3.0,4.0,0.0
59,31.5,3.0,4.0,0.0
60,30.0,3.0,4.0,0.0
61,30.0,3.0,4.0,0.0
62,30.0,3.0,4.0,0.0
63,30.0,3.0,4.0,0.0
64,30.666666,3.0,3.0,0.0
65,30.666666,3.0,3.0,0.0
66,30.666666,3.0,3.0,0.0
67,30.666666,3.0,3.0,0.0
68,30.666666,3.0,3.0,0.0
69,60.0,3.0,6.0,1.0
70,60.0,3.0,6.0,1.0
71,60.0,3.0,6.0,1.0
72,60.0,3.0,6.0,1.0
73,60.0,3.0,6.0,1.0
74,47.0,3.0,5.0,0.0
75,47.0,3.0,5.0,0.0
76,47.0,3.0,5.0,0.0
77,47.0,3.0,5.0,0.0
78,60.0,3.0,6.0,1.0
79,60.0,3.0,6.0,1.0
80,60.0,3.0,6.0,1.0
81,60.0,3.0,6.0,1.0
82,60.0,3.0,6.0,1.0
83,0.0,-1.0,0.0,-1.0
84,51.0,3.0,5.0,1.0
85,51.0,3.0,5.0,1.0
86,60.0,3.0,6.0,1.0
87,60.0,3.0,6.0,1.0
88,60.0,3.0,6.0,1.0
89,60.0,3.0,6.0,1.0
90,0.0,-1.0,0.0,-1.0
91,60.0,3.0,6.0,1.0
92,60.0,3.0,6.0,1.0
93,60.0,3.0,6.0,1.0
94,51.333332,3.0,4.8333335,1.0
95,51.333332,3.0,4.8333335,1.0
96,56.0,4.0,4.3333335,1.0
97,0.0,-1.0,0.0,-1.0
98,0.0,-1.0,0.0,-1.0
99,0.0,-1.0,0.0,-1.0
100,71.0,4.0,6.0,1.0
101,71.0,4.0,6.0,1.0
102,71.0,4.0,6.0,1.0
103,71.0,4.0,6.0,1.0
104,39.88889,1.0,3.1111112,0.0
105,41.5,1.0,3.0,2.0
106,41.5,1.0,3.0,2.0
107,41.5,1.0,3.0,2.0
108,41.5,1.0,3.0,2.0
109,41.5,1.0,3.0,2.0
