,gndvi,blue,ndbi,swir22,ndsi,green,arvi,coastal,building_year,si,swir16,ndwi,ndvi,building_sd,nbr,albedo,ui,red,awei_sh,building_height,var,ibi,evi,awei_nsh,street_lane,nir08,savi,msavi,street_width,hcho,lwir11,o3,population_res1000,so2,aod_55,co,residence_1000_1,street_orientation_0,street_orientation_1,street_orientation_2,street_orientation_3,park_200_1,commercial_1000_1,manufacture_100_1,zonedist_level1_30_1,zonedist_level1_30_2,zonedist_level1_30_3,street_traffic_1,street_traffic_2,street_traffic_3,street_traffic_4,park_1000_1,residence_200_1,park_100_1,park_500_1,manufacture_1000_1,commercial_500_1,manufacture_200_1,manufacture_500_1,commercial_200_1,commercial_100_1,residence_100_1,residence_500_1,overlay_level1_0,overlay_level1_1,y_test,y_pred
5961,0.23096614115614472,0.33718494063868953,0.6389311190517024,0.25167974175143565,0.6553324318911791,0.2896208825357365,0.11597647909015828,0.35078210757409445,0.9586633663366336,0.22348512064104942,0.3023576385587984,0.769033858790652,0.17784043532132604,0.2171668074391624,0.2167062580942935,0.3141001055685931,0.28272915935859605,0.29348364036293645,0.4242653383366258,0.17803496503496505,0.004243166666666667,0.7452684396602669,0.12429391844169715,0.7618336938394006,0.375,0.31868257975671344,0.1278421994230568,0.09549556142464974,0.2830188679245283,0.4304896028007784,0.5332867377249684,0.11247083775309363,0.9430881569199637,0.8584707760066701,0.9938271604938271,5.799805080641818e-12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.99915545,0.996917
9683,0.9589531844206766,0.1073582629674304,0.11211992629389916,0.0895236665290342,0.06273252769610815,0.05804847731510232,0.9173344259154503,0.13131174533479695,0.0,0.6146427959534165,0.2885730582755015,0.04104681559371948,0.9553689180405781,0.0,0.8978925141527545,0.412419672730092,0.9133623263573883,0.02529557327467693,0.976294223843776,0.0,0.0,0.7637575616401541,0.9338280326932049,0.7234841760847505,0.375,0.8949391783337161,0.9577523420496044,0.9297404402540013,0.3113207547169811,0.20815655355630866,0.2785252489952834,0.26069040327561765,0.4960359781778742,0.5012204988116105,0.4012345679012346,0.4713332798671157,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.012738771,1.01273
2678,0.18865919441038875,0.3602310964383214,0.6882350998046438,0.19308584512593358,0.6539980239936074,0.28918582970789286,0.11717851550214281,0.36690450054884743,0.9549504950495049,0.19622951516058357,0.30264283677155623,0.811340805535693,0.14872533123171267,0.003187301789669955,0.28025363337890885,0.3000863755049672,0.2944207896939072,0.2863898817706903,0.4395729557548889,0.16869065034965036,0.004889749388912146,0.7347837466026143,0.10147971781800133,0.8002577234863675,0.208333325,0.2859765893963737,0.10026107527077396,0.07353466806087484,0.2327043962264151,0.20820762663150197,0.40520705923466904,0.26052193350344055,0.1989593215726558,0.5011408104626502,0.37037037037037024,0.112774011135091,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.015864137,1.0158213
4194,0.4037967048931134,0.34518443273442956,0.4299940665624372,0.1549866746743741,0.660754522041732,0.2681168427594779,0.3123480030502377,0.3616218441273326,0.0,0.18961642083927405,0.27545394048863964,0.5962032950625601,0.3489196701745432,0.0,0.5288210415242969,0.354068852030611,0.28946064181974396,0.2667033269177896,0.6147811374613645,0.0,0.0,0.7622522320314796,0.311922392064642,0.8266130181041982,0.5,0.45048198301583675,0.2959083048116339,0.2348438264423353,0.5377358490566038,0.26718723892645546,0.48768128603879135,0.06564928350218224,0.28664426874513965,0.40911552341981783,0.46913580246913567,0.11277401114096008,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.024158377,1.0224571
5659,0.8929701806244336,0.14405434575582476,0.11879801897683645,0.04740813032543824,0.19970424114216334,0.04661280298321939,0.878688606069374,0.18297200878155873,0.0,0.45305879145673333,0.16874227588173785,0.10702981932103617,0.8766652184364887,0.0,0.877884645837558,0.26886727140315164,0.7657007016202549,0.0337091009073412,0.8069794039528528,0.0,0.0,0.7618612554319073,0.7262481788474766,0.8448311757757454,0.166666675,0.5714941473490935,0.7341098728489492,0.6540996409126772,0.1823899433962264,0.43048960280102777,0.19168268390704246,0.11247083778825129,0.605866402574542,0.8584707760066872,0.8271604938271602,0.06121663900321295,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.961530852,0.96161073
6497,0.11911376996338584,0.44784458129642557,0.5466783998286069,0.17375473893622617,0.903963134225133,0.3582349285270354,0.07934010572953809,0.4667261251372119,0.0,0.03849270009588691,0.23790284247552052,0.8808862299856074,0.08210632947427139,0.0,0.3448050076256819,0.3415971781930834,0.09977183062562317,0.35226835303821846,0.5242445437961377,0.0,0.0,0.7594782397949656,0.0430874269076342,0.8986002721875594,0.25,0.30657562543034206,0.043671263643799134,0.03021421317914203,0.23113207547169812,0.43048960280052906,0.5345098724445245,0.11247083771792177,0.47537306694119696,0.8584707760066529,0.9506172839506171,2.524203068787756e-12,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.996510909,0.99671173
3550,0.22510543176735603,0.2920449495270141,0.6832646388814936,0.21414361322773173,0.6136883182393106,0.2593536357986327,0.0914229892982675,0.2735318331503842,0.9559405940594059,0.27330676762834416,0.29142504040308015,0.7748945681756518,0.17421363730670633,0.003187301789669955,0.23036268342556432,0.26914446083450166,0.31690192262319583,0.26373384657684923,0.41969526546121316,0.02246153846153846,0.00042486772486772487,0.7402154661170814,0.11125090118082058,0.7784871017722872,0.45,0.2778861602019737,0.11990478745378934,0.0883824831495297,0.35660377358490564,0.2410190188191759,0.4011881880132797,0.15211158258443902,0.6128327224477028,0.4499455313052224,0.5061728395061729,0.11277401114169017,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.986653986,0.98078215
1795,0.958797226278988,0.12703955304425116,0.04842565792792053,0.02409819451221787,0.12033930748034971,0.023492852703542358,0.990917354753493,0.16252744237102063,0.0,0.48806600249813475,0.15010932598155718,0.04120277367235392,0.9597586564931478,0.0,0.9643571357628349,0.2712079160648726,0.8909147881858638,0.004509210888094584,0.8651474049358677,0.0,0.0,0.7619087013788131,0.8172422474623959,0.8588700928987973,0.375,0.6142414505393621,0.813442073435035,0.7557956648139919,0.29245283018867924,0.43048960280052906,0.2414817403459748,0.11247083772575195,0.0912584359325743,0.8584707760066567,0.716049382716049,3.256062086620659e-12,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.981845731,0.9821676
6345,0.25777509066319176,0.36219922544600347,0.5822729720983113,0.20843812169212872,0.6840192680250232,0.2825978868862645,0.16154936673543252,0.37465697036223905,0.9673267326732673,0.17223214647464472,0.27868618689989544,0.742224909283634,0.19739601927608746,0.003187301789669955,0.305668619072586,0.32020574144306535,0.25478157838548465,0.29040417926862816,0.4777829239014337,0.20034676923076922,0.0021704233333333335,0.7517282518609034,0.14965291578079276,0.8026070396206026,0.625,0.33170759697039254,0.1458391569635919,0.10983486780803034,0.6226415094339622,0.43048960280102777,0.47894460947055717,0.11247083778825129,0.594726186624749,0.8584707760066872,0.666666666666667,9.055867167262477e-12,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.995909877,0.9955789
1509,0.35911922959233705,0.2291917973462002,0.5197589465294498,0.1170001126083856,0.6211092023426239,0.17980111870727136,0.1639124867464925,0.2134330406147091,0.0,0.28245958341080774,0.19398231771080887,0.64088077033355,0.27136671874665586,0.0,0.4316910212012327,0.20794388956254917,0.2808856942448297,0.2023645861974156,0.5230913920054442,0.0,0.0,0.755437029535678,0.16806617254201472,0.8682739320144727,0.5625,0.26744319485884793,0.1901922140872902,0.14172204134581434,0.580188679245283,0.4304896028007784,0.4917001572601809,0.11247083775309363,0.5447254664167431,0.8584707760066701,0.5061728395061729,0.5114698263784767,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.99182286,0.9918097
2760,0.2551961536273736,0.5176814170528855,0.6107210959988836,0.31222551706017043,0.6557062237109763,0.4104412678682411,0.26763690848401506,0.520993413830955,0.9529702970297029,0.14936445873596055,0.4367810628386728,0.7448038463319182,0.237511534264817,0.003187301789669955,0.2974323612584276,0.4914199825028303,0.3219741251258758,0.3753093208688481,0.46366626652929666,0.08924986013986014,0.0018232471428571428,0.7444706237264483,0.26649610056526957,0.6853669601120308,0.4375,0.491106265779206,0.20397573465583213,0.161447130799452,0.330188679245283,0.22008526817018545,0.3340905119692479,0.22127801931358704,0.3672178233713485,0.48260824860728574,0.37037037037037024,0.11277401114169017,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.998915037,0.99660873
11165,0.773244871239245,0.19401942733794678,0.2513433705363744,0.08501933110618971,0.29492902806430954,0.09993784959602237,0.7370692544613131,0.22392974753018635,0.0,0.38775773983462775,0.231818613936686,0.2267551287143994,0.7460811914768984,0.0,0.7679459442731227,0.3016499776906791,0.644481113068855,0.08748968930437193,0.7412450258513943,0.0,0.0,0.7617353957608073,0.6488508084439433,0.8047963743389808,0.125,0.5566903832912554,0.6384226199512858,0.5484292277492491,0.3018867924528302,0.43048960280052906,0.20845710291805264,0.11247083771792177,0.15995650277649665,0.8584707760066529,0.9506172839506171,2.524203068787756e-12,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.989538939,0.98846906
