,savi,blue,swir22,hcho,swir16,ndsi,red,aod_55,co,si,msavi,ui,coastal,nbr,green,so2,gndvi,mndwi,albedo,arvi,population_res1000,ndbi,ndvi,street_width,awei_sh,lwir11,ibi,awei_nsh,no2,nir08,ndwi,street_lane,evi,o3,residence_500_1,street_traffic_1,street_traffic_2,street_traffic_3,street_traffic_4,park_100_1,commercial_500_1,park_500_1,park_1000_1,overlay_level1_0,overlay_level1_1,manufacture_1000_1,residence_100_1,manufacture_200_1,commercial_100_1,street_orientation_0,street_orientation_1,street_orientation_2,street_orientation_3,residence_1000_1,manufacture_500_1,park_200_1,zonedist_level1_30_1,zonedist_level1_30_2,zonedist_level1_30_3,manufacture_100_1,commercial_1000_1,commercial_200_1,residence_200_1,y_test,y_pred
7691,0.0728093962615872,0.2919179734620024,0.16895011448519187,0.26718723892645546,0.219650156859017,0.7094681187470336,0.2407478691229036,0.5432098765432101,0.11277401113839858,0.20575056228581898,0.0517139460328532,0.24882623008102878,0.28050481104448455,0.24278545103189783,0.24151646985705408,0.40911552341981783,0.1561631287608421,0.7094681187470336,0.22336266734221416,0.06028288937914954,0.25206208096347055,0.6691130523384908,0.12123159659270125,0.5660377358490566,0.43769199504711837,0.5518802228412274,0.734389885339929,0.8528784601459994,0.39081416348265763,0.21287583199449145,0.8438368711821109,0.5,0.06902183310850968,0.06564928347485477,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.000597926,1.0097322
9023,0.300857594305845,0.24569868579772688,0.10701550242108017,0.4304896028007784,0.19978134803688546,0.5358574811963283,0.15864723673357178,0.7839506172839505,0.11277401114426766,0.25906659657991193,0.23041905570186494,0.3935857669040171,0.27520568958304287,0.5203401284288081,0.15661901802361716,0.8584707760066701,0.46266626989917137,0.5358574811963283,0.225139548091342,0.3751903906511854,0.5898741129449746,0.4655081511098915,0.4143799295625077,0.5094339622641509,0.5543399151204667,0.3758704735376055,0.7575916056830311,0.8556858052653611,0.809889006746946,0.3104773927014001,0.5373337300225622,0.6041666875,0.29411969561145507,0.11247083775309363,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.989538939,0.99486256
2606,0.08920923890873492,0.37083359786680203,0.16181825006568823,0.26718723892645546,0.24346420762429893,0.7735025546572356,0.32559802034643953,0.3950617283950617,0.11277401113839858,0.12729409347852266,0.06556523584017672,0.1468513951375207,0.3950634500069726,0.39716187974207345,0.29683032939714105,0.40911552341981783,0.22083634636538635,0.7735025546572356,0.31348194802176055,0.07981633335232219,0.1989593215726558,0.5384210453807328,0.13261095154749086,0.20583190566037735,0.5274440674121191,0.5715529247910869,0.7555546613776627,0.867035719686261,0.39081416348265763,0.3192563690612806,0.7791636535819098,0.25,0.08795318533682828,0.06564928347485477,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.017787439,1.012757
2173,0.16582747031289663,0.42860770744714616,0.19762771667730195,0.9999999999999999,0.32336724023196123,0.7114187489057642,0.32240857849876287,0.7407407407407405,2.524203068787756e-12,0.14191251202780497,0.1272772731031098,0.26629494480055893,0.45265653325895977,0.3974719693343198,0.3443132380360472,0.0,0.23468570386395515,0.7114187489057642,0.3779853959370799,0.21085124917886117,0.2862409181898106,0.5779997390913779,0.21156170938407545,0.3113207547169811,0.5196272106014347,0.5618036211699169,0.751675849945748,0.8092517471942984,0.9999999999999998,0.38816846453982107,0.7653142960884549,0.5,0.18856616441013302,0.14995082577313212,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.994587607,0.993263
898,0.1620122949227834,0.37756332931242453,0.22487894598551111,0.2671872389267048,0.3232246411255823,0.6269023875844797,0.3133351663458896,0.3209876543209873,0.11277401114756103,0.19470092288440238,0.12380209769641899,0.2795192863060245,0.39276251568818865,0.33464309830937944,0.29645742697327526,0.4091155234193143,0.28542666978031006,0.6269023875844797,0.3549008168760648,0.16805726024167777,0.4685081300787519,0.5959541326071502,0.20950016371752625,0.4716981132075472,0.4765068952805844,0.6425835654596128,0.7507643051277426,0.7654058816181352,0.3908141634842828,0.37376635299518024,0.714573330169868,0.5,0.16719296866392003,0.06564928357239808,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.00744969,1.0079204
2516,0.12014477759609112,0.27230017141768753,0.13482977365714488,0.43048960280052906,0.2002566783914821,0.5872655828090956,0.1799835028869949,0.8148148148148149,3.256062086620659e-12,0.21449577757134136,0.08609871208472406,0.34260885671232816,0.30149212104309003,0.27437146448096644,0.1750155376009942,0.8584707760066567,0.23704191477490744,0.5872655828090956,0.18738322800377294,0.17320392342105842,0.5958097070143974,0.6882927427714541,0.19471939631931165,0.4716981132075472,0.4321200034027429,0.5454387186629539,0.7413723915266904,0.8526987549939402,0.8098890067461337,0.18355519853109947,0.7629580851521792,0.625,0.11751860607638871,0.11247083772575195,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.987255018,0.9887624
8942,0.4304309616415621,0.3696908132816964,0.11114447655868774,0.4293797894557688,0.2999334537503565,0.6769714642216642,0.2422875996700579,0.3765432098765431,0.11277401114096008,0.18355607582763264,0.35512162141390907,0.36603658676178846,0.3664760842281412,0.7152860840560977,0.30236171535114953,0.8571833408185601,0.44846987069696187,0.6769714642216642,0.4064195195290663,0.4851704472585672,0.38140885355814497,0.35505050493153,0.4705053226793148,0.5679245283018868,0.7372609809351869,0.3840529247910869,0.7803052777592406,0.8516095664503628,0.8080124143039653,0.5662726646775303,0.5515301292723264,0.625,0.5113440130782504,0.11476161041764499,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.997953386,1.0129036
10982,0.9520464396254193,0.10862802361754786,0.0418527833039299,0.43048960280052906,0.19997148017872407,0.04623604700148787,0.0012647786637338468,1.0,0.09035849377299243,0.5783939546044878,0.941201363417832,0.9536878549594227,0.13575512480825525,0.9811827284491363,0.02597886886264761,0.8584707760066529,1.0,0.04623604700148787,0.36062186398062146,0.9936332173550332,0.15995650277649665,0.015956933600092427,0.9937018957844066,0.40566037735849053,0.9939695832585045,0.14885097493036126,0.7630044038963175,0.8042112368316667,0.8098890067461337,0.8204613266008723,0.0,0.125,0.952926846200412,0.11247083771792177,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.982566969,0.9800185
4053,0.07737726422977498,0.5432036061202463,0.36522653053564047,0.26718723892645546,0.4666793421427893,0.7175384241200905,0.49782788012097895,0.3209876543209873,0.11277401113839858,0.15002845130038378,0.05814222854462394,0.21417578589921055,0.5652628643146007,0.24928024722696351,0.49005593536357983,0.40911552341981783,0.1750815044028442,0.7175384241200905,0.5319998146783107,0.0777554185434242,0.43917171209722855,0.6405267398354754,0.11208488196087518,0.4716981132075472,0.43141582464531125,0.39554317548746765,0.74313829271822,0.6740367694273321,0.39081416348265763,0.4951227909111775,0.8249184955528339,0.5,0.08218231797427145,0.06564928347485477,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.01478228,1.0144004
630,0.16702393445583674,0.32664592724271446,0.17855936338726008,0.26718723892645546,0.23467059606426466,0.6410997630402737,0.23326917789386872,0.3209876543209873,0.11277401113839858,0.17304765090175056,0.12464332905138288,0.2880387849788376,0.3629200948263841,0.3204131677156867,0.22560596643878186,0.40911552341981783,0.29225207710179996,0.6410997630402737,0.268651283071809,0.2161482410135596,0.07096551098622057,0.57497105496799,0.2342375888486853,0.3113207547169811,0.47269771354575274,0.548920612813373,0.7524602649256437,0.8239305899807803,0.39081416348265763,0.28408308469130145,0.7077479228360436,0.375,0.17262286024798423,0.06564928347485477,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.012858977,1.0130932
