,aod_47,aod_55
0,0.232,0.167
1,0.232,0.167
2,0.232,0.167
3,0.232,0.167
4,0.232,0.167
5,0.232,0.167
6,0.232,0.167
7,0.232,0.167
8,0.232,0.167
9,0.232,0.167
10,0.232,0.167
11,0.232,0.167
12,0.232,0.167
13,0.232,0.167
14,0.232,0.167
15,0.232,0.167
16,0.232,0.167
17,0.232,0.167
18,0.232,0.167
19,0.232,0.167
20,0.232,0.167
21,0.232,0.167
22,0.232,0.167
23,0.232,0.167
24,0.232,0.167
25,0.232,0.167
26,0.232,0.167
27,0.232,0.167
28,0.232,0.167
29,0.232,0.167
30,0.232,0.167
31,0.232,0.167
32,0.232,0.167
33,0.232,0.167
34,0.232,0.167
35,0.232,0.167
36,0.232,0.167
37,0.232,0.167
38,0.232,0.167
39,0.232,0.167
40,0.232,0.167
41,0.232,0.167
42,0.232,0.167
43,0.2405,0.173
44,0.2405,0.173
45,0.2405,0.173
46,0.2405,0.173
47,0.2405,0.173
48,0.2405,0.173
49,0.2405,0.173
50,0.2405,0.173
51,0.2405,0.173
52,0.2405,0.173
53,0.2405,0.173
54,0.2405,0.173
55,0.2405,0.173
56,0.2405,0.173
57,0.2405,0.173
58,0.2405,0.173
59,0.2405,0.173
60,0.2405,0.173
61,0.2405,0.173
62,0.2405,0.173
63,0.2405,0.173
64,0.2405,0.173
65,0.2405,0.173
66,0.2405,0.173
67,0.2405,0.173
68,0.2405,0.173
69,0.2405,0.173
70,0.2405,0.173
71,0.2405,0.173
72,0.2405,0.173
73,0.2405,0.173
74,0.2405,0.173
75,0.2405,0.173
76,0.2405,0.173
77,0.2405,0.173
78,0.2405,0.173
79,0.2405,0.173
80,0.2405,0.173
81,0.2405,0.173
82,0.2405,0.173
83,0.2405,0.173
84,0.2405,0.173
85,0.2405,0.173
86,0.2405,0.173
87,0.2405,0.173
88,0.2405,0.173
89,0.2405,0.173
90,0.2405,0.173
91,0.2405,0.173
92,0.2405,0.173
93,0.2405,0.173
94,0.2405,0.173
95,0.2405,0.173
96,0.2405,0.173
97,0.2405,0.173
98,0.2405,0.173
99,0.2405,0.173
100,0.2405,0.173
101,0.2405,0.173
102,0.2405,0.173
103,0.2405,0.173
104,0.2405,0.173
105,0.2405,0.173
106,0.2405,0.173
107,0.2405,0.173
108,0.2405,0.173
109,0.2405,0.173
110,0.2405,0.173
111,0.2405,0.173
112,0.2405,0.173
113,0.2405,0.173
114,0.2405,0.173
115,0.2405,0.173
116,0.2405,0.173
117,0.2405,0.173
118,0.2405,0.173
119,0.2405,0.173
120,0.2405,0.173
121,0.2405,0.173
122,0.2405,0.173
123,0.2405,0.173
124,0.2405,0.173
125,0.2405,0.173
126,0.2405,0.173
127,0.2405,0.173
128,0.2405,0.173
129,0.2405,0.173
130,0.2405,0.173
131,0.2405,0.173
132,0.2405,0.173
133,0.2405,0.173
134,0.2405,0.173
135,0.2405,0.173
136,0.2405,0.173
137,0.2405,0.173
138,0.2405,0.173
139,0.2405,0.173
140,0.2405,0.173
141,0.2405,0.173
142,0.2405,0.173
143,0.2405,0.173
144,0.2405,0.173
145,0.2405,0.173
146,0.2405,0.173
147,0.2405,0.173
148,0.2405,0.173
149,0.2405,0.173
150,0.2405,0.173
151,0.2405,0.173
152,0.2405,0.173
153,0.2405,0.173
154,0.2405,0.173
155,0.2405,0.173
156,0.2405,0.173
157,0.2405,0.173
158,0.2405,0.173
159,0.2405,0.173
160,0.2405,0.173
161,0.2405,0.173
162,0.2405,0.173
163,0.2405,0.173
164,0.2405,0.173
165,0.2405,0.173
166,0.2405,0.173
167,0.2405,0.173
168,0.2405,0.173
169,0.2405,0.173
170,0.2405,0.173
171,0.2405,0.173
172,0.2405,0.173
173,0.2405,0.173
174,0.2405,0.173
175,0.2405,0.173
176,0.2405,0.173
177,0.2405,0.173
178,0.2405,0.173
179,0.2405,0.173
180,0.2405,0.173
181,0.2405,0.173
182,0.2405,0.173
183,0.2405,0.173
184,0.2405,0.173
185,0.2405,0.173
186,0.2405,0.173
187,0.2405,0.173
188,0.2405,0.173
189,0.2405,0.173
190,0.2405,0.173
191,0.2405,0.173
192,0.2405,0.173
193,0.2405,0.173
194,0.2405,0.173
195,0.2405,0.173
196,0.2405,0.173
197,0.2405,0.173
198,0.2405,0.173
199,0.2405,0.173
200,0.2405,0.173
201,0.2405,0.173
202,0.2405,0.173
203,0.2405,0.173
204,0.2405,0.173
205,0.2405,0.173
206,0.2405,0.173
207,0.2405,0.173
208,0.2405,0.173
209,0.2405,0.173
210,0.2405,0.173
211,0.2405,0.173
212,0.2405,0.173
213,0.2405,0.173
214,0.2405,0.173
215,0.2405,0.173
216,0.2405,0.173
217,0.2405,0.173
218,0.2405,0.173
219,0.2405,0.173
220,0.2405,0.173
221,0.2405,0.173
222,0.2405,0.173
223,0.2405,0.173
224,0.2405,0.173
225,0.2405,0.173
226,0.2405,0.173
227,0.2405,0.173
228,0.2405,0.173
229,0.2405,0.173
230,0.2405,0.173
231,0.2405,0.173
232,0.2405,0.173
233,0.2405,0.173
234,0.2405,0.173
235,0.2405,0.173
236,0.2405,0.173
237,0.2405,0.173
238,0.2405,0.173
239,0.2405,0.173
240,0.2405,0.173
241,0.2405,0.173
242,0.2405,0.173
243,0.2405,0.173
244,0.2405,0.173
245,0.2405,0.173
246,0.2405,0.173
247,0.2405,0.173
248,0.2405,0.173
249,0.2405,0.173
250,0.2405,0.173
251,0.2405,0.173
252,0.2405,0.173
253,0.2405,0.173
254,0.2405,0.173
255,0.2405,0.173
256,0.2405,0.173
257,0.2405,0.173
258,0.2405,0.173
259,0.2405,0.173
260,0.2405,0.173
261,0.2405,0.173
262,0.2405,0.173
263,0.2405,0.173
264,0.2405,0.173
265,0.2405,0.173
266,0.2405,0.173
267,0.2405,0.173
268,0.2405,0.173
269,0.2405,0.173
270,0.2405,0.173
271,0.2405,0.173
272,0.2405,0.173
273,0.2405,0.173
274,0.2405,0.173
275,0.2405,0.173
276,0.2405,0.173
277,0.2405,0.173
278,0.2405,0.173
279,0.2405,0.173
280,0.2405,0.173
281,0.2405,0.173
282,0.2405,0.173
283,0.28200000000000003,0.203
284,0.28200000000000003,0.203
285,0.28200000000000003,0.203
