,building_height,building_sd,building_year,building_area
0,65.1,0.0,1928.0,936.1115
1,65.1,0.0,1928.0,936.1115
2,0.0,-1.0,0.0,0.0
3,0.0,-1.0,0.0,0.0
4,0.0,-1.0,0.0,0.0
5,0.0,-1.0,0.0,0.0
6,12.83,0.0,1931.0,33.707344
7,12.83,0.0,1931.0,33.707344
8,12.83,0.0,1931.0,33.707344
9,12.83,0.0,1931.0,33.707344
10,49.435,1.0852995,1931.0,2639.5444
11,49.435,1.0852995,1931.0,2639.5444
12,49.435,1.0852995,1931.0,2639.5444
13,63.78,0.0,1927.0,2716.2603
14,63.78,0.0,1927.0,2716.2603
15,63.78,0.0,1927.0,2716.2603
16,63.78,0.0,1927.0,2716.2603
17,63.78,0.0,1927.0,2716.2603
18,63.78,0.0,1927.0,155.46951
19,63.78,0.0,1927.0,155.46951
20,63.78,0.0,1927.0,155.46951
21,63.78,0.0,1927.0,155.46951
22,63.78,0.0,1927.0,155.46951
23,63.78,0.0,1927.0,155.46951
24,34.45,0.0,1965.0,2029.9222
25,34.45,0.0,1965.0,2029.9222
26,34.45,0.0,1965.0,2029.9222
27,34.45,0.0,1965.0,2029.9222
28,34.45,0.0,1965.0,4740.7573
29,0.0,-1.0,0.0,0.0
30,0.0,-1.0,0.0,0.0
31,0.0,-1.0,0.0,0.0
32,0.0,-1.0,0.0,0.0
33,34.45,0.0,1965.0,359.12274
34,34.45,0.0,1965.0,359.12274
35,34.45,0.0,1965.0,1992.0013
36,34.45,0.0,1965.0,1992.0013
37,34.45,0.0,1965.0,1992.0013
38,34.45,0.0,1965.0,1992.0013
39,34.45,0.0,1965.0,1992.0013
40,46.05,0.0,1928.0,2564.1267
41,40.25,5.8,1946.5,244.01218
42,40.25,5.8,1946.5,244.01218
43,40.25,5.8,1946.5,244.01218
44,34.45,0.0,1965.0,1126.3705
45,34.45,0.0,1965.0,1126.3705
46,34.45,0.0,1965.0,1126.3705
47,34.45,0.0,1965.0,1126.3705
48,34.45,0.0,1965.0,1126.3705
49,17.86,0.0,1931.0,933.4305
50,24.92,0.0,1901.0,30.522844
51,24.92,0.0,1901.0,30.522844
52,24.92,0.0,1901.0,30.522844
53,16.31,0.0,1931.0,1036.9839
54,16.31,0.0,1931.0,1036.9839
55,16.31,0.0,1931.0,2986.7195
56,16.31,0.0,1931.0,2986.7195
57,16.31,0.0,1931.0,2986.7195
58,16.31,0.0,1931.0,2986.7195
59,29.655,13.345,1923.0,169.46596
60,51.46,8.46,1923.0,2521.437
61,51.46,8.46,1923.0,2521.437
62,51.46,8.46,1923.0,2521.437
63,59.92,0.0,1931.0,4558.1553
64,24.63,0.0,1931.0,1015.8728
65,24.63,0.0,1931.0,1015.8728
66,24.63,0.0,1931.0,1015.8728
67,24.63,0.0,1931.0,1015.8728
68,24.63,0.0,1931.0,1015.8728
69,20.903334,4.811163,1931.0,1260.9371
70,20.903334,4.811163,1931.0,1260.9371
71,20.903334,4.811163,1931.0,1260.9371
72,0.0,-1.0,0.0,0.0
73,0.0,-1.0,0.0,0.0
74,13.6,0.0,1931.0,271.79474
75,13.6,0.0,1931.0,271.79474
76,13.6,0.0,1931.0,271.79474
77,13.6,0.0,1931.0,271.79474
78,57.97,0.0,1910.0,719.85455
79,57.97,0.0,1910.0,719.85455
80,57.97,0.0,1910.0,719.85455
81,38.94,0.0,1946.0,0.019724332
82,38.94,0.0,1946.0,0.019724332
83,57.97,0.0,1910.0,5630.4834
84,69.365,11.395,1909.5,1267.162
85,69.365,11.395,1909.5,1267.162
86,80.76,0.0,1909.0,627.7342
87,80.76,0.0,1909.0,627.7342
88,80.76,0.0,1909.0,627.7342
89,0.0,-1.0,0.0,0.0
90,51.31,29.45,1909.0,5243.0903
91,41.14,19.28,1912.0,853.7483
92,41.14,19.28,1912.0,853.7483
93,41.14,19.28,1912.0,853.7483
94,60.42,0.0,1915.0,160.84802
95,60.42,0.0,1915.0,160.84802
96,0.0,-1.0,0.0,0.0
97,0.0,-1.0,0.0,0.0
98,0.0,-1.0,0.0,0.0
99,0.0,-1.0,0.0,0.0
100,0.0,-1.0,0.0,0.0
101,0.0,-1.0,0.0,0.0
102,0.0,-1.0,0.0,0.0
103,0.0,-1.0,0.0,0.0
104,0.0,-1.0,0.0,0.0
105,0.0,-1.0,0.0,0.0
106,0.0,-1.0,0.0,0.0
107,0.0,-1.0,0.0,0.0
108,0.0,-1.0,0.0,0.0
109,0.0,-1.0,0.0,0.0
110,0.0,-1.0,0.0,0.0
111,0.0,-1.0,0.0,0.0
112,0.0,-1.0,0.0,0.0
113,0.0,-1.0,0.0,0.0
114,0.0,-1.0,0.0,0.0
115,0.0,-1.0,0.0,0.0
116,0.0,-1.0,0.0,0.0
117,0.0,-1.0,0.0,0.0
118,0.0,-1.0,0.0,0.0
119,0.0,-1.0,0.0,0.0
120,0.0,-1.0,0.0,0.0
121,0.0,-1.0,0.0,0.0
122,0.0,-1.0,0.0,0.0
123,0.0,-1.0,0.0,0.0
124,0.0,-1.0,0.0,0.0
125,0.0,-1.0,0.0,0.0
126,0.0,-1.0,0.0,0.0
127,0.0,-1.0,0.0,0.0
128,0.0,-1.0,0.0,0.0
129,0.0,-1.0,0.0,0.0
130,22.26,0.0,1921.0,341.5978
131,22.26,0.0,1921.0,341.5978
132,22.26,0.0,1921.0,341.5978
133,27.35,3.599287,1937.0,1759.3982
134,27.35,3.599287,1937.0,1759.3982
135,27.35,3.599287,1937.0,1759.3982
136,29.86,0.0,1959.0,6327.693
137,29.86,0.0,1959.0,6327.693
138,33.25,4.7447724,1946.0,2426.9346
139,29.86,0.0,1959.0,96.40444
140,29.86,0.0,1959.0,96.40444
141,29.86,0.0,1959.0,96.40444
142,29.86,0.0,1959.0,96.40444
143,29.86,0.0,1959.0,96.40444
144,0.0,-1.0,0.0,0.0
145,0.0,-1.0,0.0,0.0
146,23.64,0.0,1962.0,1058.701
147,23.64,0.0,1962.0,1058.701
148,32.28,6.195418,1957.3334,1524.0575
149,32.28,6.195418,1957.3334,1524.0575
150,32.28,6.195418,1957.3334,1524.0575
151,36.6,1.26,1955.0,3340.4963
152,36.6,1.26,1955.0,3340.4963
153,36.6,1.26,1955.0,3340.4963
154,36.6,1.26,1955.0,2611.6692
155,36.6,1.26,1955.0,2611.6692
156,36.6,1.26,1955.0,2611.6692
157,38.775,22.495,1977.0,1294.3356
158,37.86,0.0,1948.0,3238.5889
159,37.86,0.0,1948.0,3238.5889
160,37.86,0.0,1948.0,3238.5889
161,37.86,0.0,1948.0,3238.5889
162,19.33,3.05,1950.5,3363.575
163,37.86,0.0,1948.0,3347.314
164,37.86,0.0,1948.0,3347.314
165,37.86,0.0,1948.0,3347.314
166,37.86,0.0,1948.0,3347.314
167,22.38,0.0,1947.0,1945.5883
168,22.38,0.0,1947.0,1945.5883
169,22.38,0.0,1947.0,1945.5883
170,22.38,0.0,1947.0,1945.5883
171,22.38,0.0,1947.0,1945.5883
172,18.595,3.785,1939.0,2325.7285
173,18.595,3.785,1939.0,2325.7285
174,18.595,3.785,1939.0,2325.7285
175,18.595,3.785,1939.0,2325.7285
176,14.81,0.0,1931.0,1648.5745
177,14.81,0.0,1931.0,509.99927
178,51.47,0.0,1905.0,1882.1276
179,39.495,11.975,1918.0,679.5344
180,39.495,11.975,1918.0,679.5344
181,39.495,11.975,1918.0,679.5344
182,0.0,-1.0,0.0,0.0
183,0.0,-1.0,0.0,0.0
184,0.0,-1.0,0.0,0.0
185,34.46,0.0,1931.0,134.77489
186,34.46,0.0,1931.0,134.77489
187,34.46,0.0,1931.0,134.77489
188,0.0,-1.0,0.0,0.0
189,0.0,-1.0,0.0,0.0
190,0.0,-1.0,0.0,0.0
191,61.27,0.0,2000.0,31.215046
192,61.27,0.0,2000.0,31.215046
193,61.27,0.0,2000.0,31.215046
194,20.0,0.0,1931.0,564.12494
195,20.0,0.0,1931.0,564.12494
196,61.27,0.0,2000.0,2714.9705
197,61.27,0.0,2000.0,2714.9705
198,20.58973,3.41027,1948.0,1107.7935
199,20.58973,3.41027,1948.0,1107.7935
200,17.17946,0.0,1948.0,20.993086
201,17.17946,0.0,1948.0,20.993086
202,14.85,0.0,1931.0,2694.375
203,14.85,0.0,1931.0,2694.375
204,0.0,-1.0,0.0,0.0
205,0.0,-1.0,0.0,0.0
206,14.85,0.0,1931.0,2546.6907
207,14.85,0.0,1931.0,2546.6907
208,0.0,-1.0,0.0,0.0
209,0.0,-1.0,0.0,0.0
210,0.0,-1.0,0.0,0.0
211,14.85,0.0,1931.0,2454.9844
212,14.85,0.0,1931.0,2454.9844
213,14.85,0.0,1931.0,2454.9844
214,14.85,0.0,1931.0,2454.9844
215,14.85,0.0,1931.0,13.990167
216,14.85,0.0,1931.0,13.990167
217,14.85,0.0,1931.0,5516.515
218,14.85,0.0,1931.0,1384.4371
219,30.51,0.0,1991.0,920.1258
220,30.51,0.0,1991.0,920.1258
221,14.85,0.0,1931.0,1913.1117
222,14.85,0.0,1931.0,1913.1117
223,17.43,0.0,1949.0,272.67105
224,17.43,0.0,1949.0,272.67105
225,17.43,0.0,1949.0,272.67105
226,17.43,0.0,1949.0,272.67105
227,46.7,0.0,1988.0,1273.5488
228,17.43,0.0,1949.0,3116.5352
229,17.43,0.0,1949.0,3116.5352
230,17.43,0.0,1949.0,3116.5352
231,17.43,0.0,1949.0,114.62545
232,17.43,0.0,1949.0,114.62545
233,17.43,0.0,1949.0,114.62545
234,17.43,0.0,1949.0,117.94442
235,17.43,0.0,1949.0,117.94442
236,17.43,0.0,1949.0,117.94442
237,0.0,-1.0,0.0,0.0
238,0.0,-1.0,0.0,0.0
239,15.6,1.99,1924.0,1776.5461
240,15.6,1.99,1924.0,1776.5461
241,15.6,1.99,1924.0,1776.5461
242,32.24,18.63,1927.5,339.2442
243,32.24,18.63,1927.5,339.2442
244,32.24,18.63,1927.5,339.2442
245,19.0,0.0,1936.0,2961.9307
246,19.0,0.0,1936.0,2961.9307
247,19.0,0.0,1936.0,334.87543
248,19.0,0.0,1936.0,334.87543
249,19.0,0.0,1936.0,334.87543
250,74.16,0.0,1920.0,1052.8029
251,41.5,22.5,1920.5,3714.2573
252,64.0,0.0,1905.0,1122.5333
253,64.0,0.0,1905.0,1122.5333
254,64.0,0.0,1905.0,1122.5333
255,0.0,-1.0,0.0,0.0
256,0.0,-1.0,0.0,0.0
257,0.0,-1.0,0.0,0.0
258,0.0,-1.0,0.0,0.0
259,0.0,-1.0,0.0,0.0
260,0.0,-1.0,0.0,0.0
261,0.0,-1.0,0.0,0.0
262,0.0,-1.0,0.0,0.0
263,0.0,-1.0,0.0,0.0
264,0.0,-1.0,0.0,0.0
265,0.0,-1.0,0.0,0.0
266,0.0,-1.0,0.0,0.0
267,0.0,-1.0,0.0,0.0
268,0.0,-1.0,0.0,0.0
269,0.0,-1.0,0.0,0.0
270,0.0,-1.0,0.0,0.0
271,0.0,-1.0,0.0,0.0
272,0.0,-1.0,0.0,0.0
273,0.0,-1.0,0.0,0.0
274,0.0,-1.0,0.0,0.0
275,0.0,-1.0,0.0,0.0
276,0.0,-1.0,0.0,0.0
277,20.91,0.0,1931.0,2443.8198
278,20.91,0.0,1931.0,2443.8198
279,20.91,0.0,1931.0,1128.559
280,20.91,0.0,1931.0,1128.559
281,0.0,-1.0,0.0,0.0
282,0.0,-1.0,0.0,0.0
283,27.88,0.0,1988.0,175.51979
284,27.88,0.0,1988.0,175.51979
285,21.0,0.0,1931.0,91.89986
286,21.0,0.0,1931.0,91.89986
287,21.0,0.0,1931.0,91.89986
288,12.67,0.0,1925.0,3334.126
289,12.67,0.0,1925.0,3334.126
290,12.67,0.0,1925.0,3334.126
291,12.67,0.0,1925.0,3334.126
292,0.0,-1.0,0.0,0.0
293,0.0,-1.0,0.0,0.0
294,0.0,-1.0,0.0,0.0
295,0.0,-1.0,0.0,0.0
296,0.0,-1.0,0.0,0.0
297,59.74,0.75,1910.0,3443.3718
298,61.005,2.015,1907.5,532.4986
299,61.005,2.015,1907.5,532.4986
300,61.005,2.015,1907.5,532.4986
301,63.495,4.505,1910.0,2879.5354
302,63.495,4.505,1910.0,2879.5354
303,63.495,4.505,1910.0,2879.5354
304,60.41,0.0,1915.0,1121.8076
305,60.41,0.0,1915.0,1121.8076
306,0.0,-1.0,0.0,0.0
307,0.0,-1.0,0.0,0.0
308,0.0,-1.0,0.0,0.0
309,0.0,-1.0,0.0,0.0
310,0.0,-1.0,0.0,0.0
311,0.0,-1.0,0.0,0.0
312,0.0,-1.0,0.0,0.0
313,64.91,0.0,1926.0,43.06441
314,64.91,0.0,1926.0,2187.1414
315,140.98,0.0,1961.0,956.3035
316,140.98,0.0,1961.0,956.3035
317,0.0,-1.0,0.0,0.0
318,0.0,-1.0,0.0,0.0
319,0.0,-1.0,0.0,0.0
320,0.0,-1.0,0.0,0.0
321,0.0,-1.0,0.0,0.0
322,0.0,-1.0,0.0,0.0
323,0.0,-1.0,0.0,0.0
324,140.98,0.0,1961.0,543.553
325,140.98,0.0,1961.0,543.553
326,0.0,-1.0,0.0,0.0
327,0.0,-1.0,0.0,0.0
328,0.0,-1.0,0.0,0.0
329,0.0,-1.0,0.0,0.0
330,0.0,-1.0,0.0,0.0
331,0.0,-1.0,0.0,0.0
332,0.0,-1.0,0.0,0.0
333,0.0,-1.0,0.0,0.0
334,0.0,-1.0,0.0,0.0
335,0.0,-1.0,0.0,0.0
336,0.0,-1.0,0.0,0.0
337,0.0,-1.0,0.0,0.0
338,0.0,-1.0,0.0,0.0
339,0.0,-1.0,0.0,0.0
340,143.2489,0.0,1961.0,1371.7195
341,143.2489,0.0,1961.0,1371.7195
342,143.2489,0.0,1961.0,1371.7195
343,143.2489,0.0,1961.0,1371.7195
344,0.0,-1.0,0.0,0.0
345,0.0,-1.0,0.0,0.0
346,0.0,-1.0,0.0,0.0
347,0.0,-1.0,0.0,0.0
348,0.0,-1.0,0.0,0.0
349,0.0,-1.0,0.0,0.0
350,0.0,-1.0,0.0,0.0
351,0.0,-1.0,0.0,0.0
352,0.0,-1.0,0.0,0.0
353,0.0,-1.0,0.0,0.0
354,0.0,-1.0,0.0,0.0
355,0.0,-1.0,0.0,0.0
356,0.0,-1.0,0.0,0.0
357,0.0,-1.0,0.0,0.0
358,0.0,-1.0,0.0,0.0
359,0.0,-1.0,0.0,0.0
360,0.0,-1.0,0.0,0.0
361,29.94,0.0,1924.0,173.78038
362,29.94,0.0,1924.0,173.78038
363,29.94,0.0,1924.0,173.78038
364,29.94,0.0,1924.0,173.78038
365,29.94,0.0,1924.0,173.78038
366,35.85,0.0,1990.0,643.2331
367,35.85,0.0,1990.0,643.2331
368,35.85,0.0,1990.0,643.2331
369,35.85,0.0,1990.0,643.2331
370,59.86,0.0,1915.0,1215.6525
371,59.86,0.0,1915.0,1215.6525
372,46.02,13.2,1964.0,700.5898
373,46.02,13.2,1964.0,700.5898
374,46.02,13.2,1964.0,700.5898
375,46.02,13.2,1964.0,700.5898
376,58.475,0.745,1922.5,472.06534
377,58.475,0.745,1922.5,472.06534
378,25.46,0.0,1931.0,341.75403
379,25.46,0.0,1931.0,400.4699
380,25.46,0.0,1931.0,400.4699
381,0.0,-1.0,0.0,0.0
382,25.943333,0.58732915,1931.0,4219.965
383,26.77,0.0,1931.0,953.6065
384,26.77,0.0,1931.0,953.6065
385,0.0,-1.0,0.0,0.0
386,0.0,-1.0,0.0,0.0
387,0.0,-1.0,0.0,0.0
388,0.0,-1.0,0.0,0.0
389,0.0,-1.0,0.0,0.0
390,0.0,-1.0,0.0,0.0
391,0.0,-1.0,0.0,0.0
392,79.98,0.0,1913.0,165.41704
393,79.98,0.0,1913.0,165.41704
394,31.638212,18.45045,1959.0,671.4199
395,31.638212,18.45045,1959.0,671.4199
396,57.69,0.0,1931.0,482.8935
397,57.69,0.0,1931.0,482.8935
398,57.69,0.0,1931.0,482.8935
399,70.0,0.0,2020.0,569.50397
400,31.66,0.0,1931.0,636.02783
401,31.66,0.0,1931.0,636.02783
402,31.66,0.0,1931.0,0.26465166
403,31.66,0.0,1931.0,0.26465166
404,31.66,0.0,1931.0,254.95032
405,31.66,0.0,1931.0,254.95032
406,0.0,-1.0,0.0,0.0
407,0.0,-1.0,0.0,0.0
408,0.0,-1.0,0.0,0.0
409,19.665,4.435,1931.0,3803.9753
410,19.665,4.435,1931.0,3803.9753
411,24.1,0.0,1931.0,655.02594
412,24.1,0.0,1931.0,655.02594
413,0.0,-1.0,0.0,0.0
414,0.0,-1.0,0.0,0.0
415,0.0,-1.0,0.0,0.0
416,0.0,-1.0,0.0,0.0
417,0.0,-1.0,0.0,0.0
418,0.0,-1.0,0.0,0.0
419,0.0,-1.0,0.0,0.0
420,0.0,-1.0,0.0,0.0
421,0.0,-1.0,0.0,0.0
422,0.0,-1.0,0.0,0.0
423,0.0,-1.0,0.0,0.0
424,0.0,-1.0,0.0,0.0
425,22.79,0.0,1981.0,41.051598
426,73.88729,51.09729,1995.0,82.15253
427,73.88729,51.09729,1995.0,82.15253
428,124.98457,0.0,2009.0,1925.5107
429,124.98457,0.0,2009.0,1925.5107
430,124.98457,0.0,2009.0,1925.5107
431,124.98457,0.0,2009.0,1925.5107
432,124.98457,0.0,2009.0,1925.5107
433,124.98457,0.0,2009.0,1925.5107
434,124.98457,0.0,2009.0,1925.5107
435,0.0,-1.0,0.0,0.0
436,45.293335,1.4918966,1915.0,780.24615
437,45.293335,1.4918966,1915.0,780.24615
438,45.293335,1.4918966,1915.0,780.24615
439,45.293335,1.4918966,1915.0,780.24615
440,45.293335,1.4918966,1915.0,780.24615
441,45.293335,1.4918966,1915.0,780.24615
442,129.63416,0.0,2012.0,22.64767
443,129.63416,0.0,2012.0,22.64767
444,129.63416,0.0,2012.0,22.64767
445,129.63416,0.0,2012.0,22.64767
446,129.63416,0.0,2012.0,22.64767
