,Variable,P-Value
773,building_height_res100_std_dev_9x9,0.00011369172841860523
781,var_res100_std_dev_9x9,0.00017085160071296618
3,building_height_std_res100,0.0001772324381441645
816,albedo_std_dev_9x9,0.0001993180051928006
797,swir16_std_dev_9x9,0.00032784289452091156
646,building_height_std_res100_mean_9x9,0.0004193230289739159
774,building_height_std_res100_std_dev_9x9,0.0004245201684176242
340,zonedist_level3_res500_std_dev_3x3,0.0006965390582595527
132,building_height_std_res100_mean_3x3,0.0007475640266542295
210,zonedist_level2_res500_mean_3x3,0.0007865714136895033
596,zonedist_level3_res500_std_dev_5x5,0.0008834265526881898
719,has_manufacture_res30_mean_9x9,0.0009137854829887924
653,var_res100_mean_9x9,0.0009729394263408532
808,awei_nsh_std_dev_9x9,0.0009994201651734578
815,ibi_std_dev_9x9,0.0010754937504157108
394,building_height_std_res30_mean_5x5,0.0011299570273667937
81,zonedist_level2_res500,0.001198425225924172
339,zonedist_level2_res500_std_dev_3x3,0.0013825373016423293
442,has_manufacture_res100_mean_5x5,0.001543736274395553
366,sentinel_2_awei_nsh_std_dev_3x3,0.001576060499133252
851,zonedist_level2_res500_std_dev_9x9,0.0017638490560398957
199,has_manufacture_res200_mean_3x3,0.0018451279979599074
185,has_manufacture_res100_mean_3x3,0.0018729906553706993
645,building_height_res100_mean_9x9,0.00192620487892437
139,var_res100_mean_3x3,0.001956768305293785
463,has_manufacture_res30_mean_5x5,0.0023078188123433064
131,building_height_res100_mean_3x3,0.0026627978047426594
206,has_manufacture_res30_mean_3x3,0.0031991134076224067
70,has_manufacture_res200,0.00356954985472529
798,swir22_std_dev_9x9,0.003642375174223594
84,has_manufacture_res500,0.003909467351232178
799,coastal_std_dev_9x9,0.004262742836033025
93,B05,0.004357463375602343
650,building_height_std_res30_mean_9x9,0.004420868444229057
522,building_height_std_res30_std_dev_5x5,0.004451627014283571
2,building_height_res100,0.0045861114629853665
397,var_res100_mean_5x5,0.0046038393777986545
778,building_height_std_res30_std_dev_9x9,0.004630492242145398
525,var_res100_std_dev_5x5,0.004850453984170538
213,has_manufacture_res500_mean_3x3,0.004850520653644236
595,zonedist_level2_res500_std_dev_5x5,0.004953409720419079
390,building_height_std_res100_mean_5x5,0.005162457273830326
601,o3_july24_std_dev_5x5,0.00563386447925206
255,has_manufacture_res30_distance_mean_3x3,0.005804635673707058
794,blue_std_dev_9x9,0.005836955677352038
512,has_manufacture_res30_distance_mean_5x5,0.0059218495094552435
456,has_manufacture_res200_mean_5x5,0.005963405331705107
517,building_height_res100_std_dev_5x5,0.006805999383889031
10,var_res100,0.006861971852327944
768,has_manufacture_res30_distance_mean_9x9,0.006904851263245848
12,var_res30,0.0069192045286334625
60,zonedist_level2_res1000,0.007012504996347636
698,has_manufacture_res100_mean_9x9,0.00723494357389097
795,green_std_dev_9x9,0.007354658072942932
389,building_height_res100_mean_5x5,0.0075163198891918396
783,var_res30_std_dev_9x9,0.007527927856057185
838,zonedist_level3_res200_std_dev_9x9,0.0080461584116419
670,swir22_mean_9x9,0.008068267957966335
6,building_height_res30,0.008198947383410527
712,has_manufacture_res200_mean_9x9,0.008270002412491827
83,has_residence_res500,0.008442773207712957
777,building_height_res30_std_dev_9x9,0.008591807676565541
77,has_manufacture_res30,0.008605797828249098
100,B12,0.008657391789717962
80,zonedist_level1_res500,0.00879164666392199
834,has_commercial_res1000_std_dev_9x9,0.008861661227961773
665,red_mean_9x9,0.009376220220999576
253,street_orientation_res30_mean_3x3,0.009491985818232927
350,B04_std_dev_3x3,0.009737206688243856
399,var_res30_mean_5x5,0.009819188664154111
126,has_manufacture_res30_distance,0.009842775577566942
349,B03_std_dev_3x3,0.009987630629659384
671,coastal_mean_9x9,0.010282985455471237
358,B12_std_dev_3x3,0.010572160379969733
82,zonedist_level3_res500,0.01073279697364598
61,zonedist_level3_res1000,0.010790769747738736
108,sentinel_2_awei_nsh,0.011128439925253327
62,has_residence_res1000,0.011199902486138565
667,green_mean_9x9,0.011590665234276432
706,has_commercial_res1000_mean_9x9,0.011670561462223344
666,blue_mean_9x9,0.011888141495669833
209,zonedist_level1_res500_mean_3x3,0.012344466034572309
141,var_res30_mean_3x3,0.013136334825729368
663,co_july24_mean_9x9,0.0134879659614983
125,has_residence_res30_distance,0.013497979975635803
830,zonedist_level2_res1000_std_dev_9x9,0.014130500624366042
527,var_res30_std_dev_5x5,0.014279850572372554
683,nbr_mean_9x9,0.01484308962662647
135,building_height_res30_mean_3x3,0.015052303056571122
55,has_residence_res100,0.015249148688206747
198,has_residence_res200_mean_3x3,0.015739604552711128
518,building_height_std_res100_std_dev_5x5,0.015817583159884647
682,ndsi_mean_9x9,0.016024634862739133
386,has_park_res30_distance_std_dev_3x3,0.0161366138486623
679,ndwi_mean_9x9,0.016537405860477358
676,gndvi_mean_9x9,0.016537405860477358
368,sentinel_2_ndsi_std_dev_3x3,0.017135623927698337
655,var_res30_mean_9x9,0.01742775386809641
622,sentinel_2_awei_nsh_std_dev_5x5,0.017669655908722333
470,has_manufacture_res500_mean_5x5,0.017951617045103285
384,has_manufacture_res30_distance_std_dev_3x3,0.01837113221627628
604,B02_std_dev_5x5,0.01861256272751047
59,zonedist_level1_res1000,0.018659343887489837
681,awei_sh_mean_9x9,0.018771327160639766
713,has_commercial_res200_mean_9x9,0.01950217085920415
685,ndbi_mean_9x9,0.01967940606412077
744,sentinel_2_evi_mean_9x9,0.01973844589667498
686,ui_mean_9x9,0.019797590514757355
188,zonedist_level1_res1000_mean_3x3,0.020116795120302424
828,has_park_res100_std_dev_9x9,0.021084450273826324
351,B05_std_dev_3x3,0.021316532167612826
367,sentinel_2_awei_sh_std_dev_3x3,0.021501064519825037
65,has_park_res1000,0.02198886087163712
673,ndvi_mean_9x9,0.022104444646760642
393,building_height_res30_mean_5x5,0.022557838765011225
852,zonedist_level3_res500_std_dev_9x9,0.022706634140093097
836,zonedist_level1_res200_std_dev_9x9,0.0234730820765254
109,sentinel_2_awei_sh,0.023946623184000804
669,swir16_mean_9x9,0.024150751984669594
229,B12_mean_3x3,0.024221291004776442
270,var_res30_std_dev_3x3,0.024436771405901742
346,population_res1000_std_dev_3x3,0.024741590021115895
700,has_park_res100_mean_9x9,0.02488985945412835
793,red_std_dev_9x9,0.024956119360899507
136,building_height_std_res30_mean_3x3,0.024997887945991618
348,B02_std_dev_3x3,0.02516108470330027
640,has_manufacture_res30_distance_std_dev_5x5,0.025519265267882493
111,sentinel_2_nbr,0.026376610914719833
521,building_height_res30_std_dev_5x5,0.02639977501220633
99,B11,0.026400649011050346
649,building_height_res30_mean_9x9,0.02718642776768356
677,arvi_mean_9x9,0.02760656256696807
76,has_residence_res30,0.02764093164330847
329,has_commercial_res200_std_dev_3x3,0.02790950176736454
56,has_manufacture_res100,0.028511463981628918
684,si_mean_9x9,0.029576578977357344
222,B05_mean_3x3,0.030277756928954937
605,B03_std_dev_5x5,0.03029333763715211
85,has_commercial_res500,0.030311999534093737
675,savi_mean_9x9,0.031016954867033746
63,has_manufacture_res1000,0.03285557988070725
705,has_manufacture_res1000_mean_9x9,0.033508121796313
452,zonedist_level1_res200_mean_5x5,0.034308351138906866
678,msavi_mean_9x9,0.03431225823964907
471,has_commercial_res500_mean_5x5,0.034756900319869236
90,B02,0.03495377969047538
699,has_commercial_res100_mean_9x9,0.03504752661336662
842,has_park_res200_std_dev_9x9,0.03539781382539373
674,evi_mean_9x9,0.036436909494261996
805,arvi_std_dev_9x9,0.03661968155198403
881,sentinel_2_nbr_std_dev_9x9,0.03773283316412137
531,canopy_heigth_res30_std_dev_5x5,0.03830344749134407
195,zonedist_level1_res200_mean_3x3,0.03869993090663253
268,var_res100_std_dev_3x3,0.03889204191203554
586,has_park_res200_std_dev_5x5,0.03945336682748635
228,B11_mean_3x3,0.0394661492476498
558,ui_std_dev_5x5,0.039740213385373986
486,B12_mean_5x5,0.04042756050576903
467,zonedist_level2_res500_mean_5x5,0.04105402105557999
260,building_height_res100_std_dev_3x3,0.042257891245444996
791,co_july24_std_dev_9x9,0.043497307311030436
502,sentinel_2_albedo_mean_5x5,0.04363319394783622
858,population_res1000_std_dev_9x9,0.04385347153535801
261,building_height_std_res100_std_dev_3x3,0.04397231703681478
546,evi_std_dev_5x5,0.04410281107636992
211,zonedist_level3_res500_mean_3x3,0.048029937802918025
444,has_park_res100_mean_5x5,0.048349444802528604
847,has_manufacture_res30_std_dev_9x9,0.04874230962237384
687,ibi_mean_9x9,0.04954484392976165
606,B04_std_dev_5x5,0.049568545472301925
878,sentinel_2_awei_nsh_std_dev_9x9,0.05039047913386644
259,aod55_std_dev_3x3,0.05071922294537699
88,population_res1000,0.0508938158704721
574,zonedist_level2_res1000_std_dev_5x5,0.05110578712328883
814,ui_std_dev_9x9,0.051601887656380116
549,arvi_std_dev_5x5,0.05161412422430223
602,population_res1000_std_dev_5x5,0.05206624404201677
570,has_manufacture_res100_std_dev_5x5,0.05223114761905278
802,evi_std_dev_9x9,0.053452101813043953
370,sentinel_2_si_std_dev_3x3,0.05348996444527796
57,has_commercial_res100,0.05356633233457291
476,B02_mean_5x5,0.05360985007505295
28,swir22,0.05539627082894683
458,has_park_res200_mean_5x5,0.05598447213608176
806,msavi_std_dev_9x9,0.05641669131616782
325,zonedist_level2_res200_std_dev_3x3,0.056543618471834214
258,aod47_std_dev_3x3,0.057164834459974875
477,B03_mean_5x5,0.05995234510231105
638,street_orientation_res30_std_dev_5x5,0.06013975940567289
714,has_park_res200_mean_9x9,0.06071564056526055
69,has_residence_res200,0.061429608338079644
742,B12_mean_9x9,0.06163527288487243
89,B01,0.06340726375413648
113,sentinel_2_ndbi,0.06362606414765251
822,zonedist_level1_res100_std_dev_9x9,0.06369006973485726
457,has_commercial_res200_mean_5x5,0.06452488717221143
78,has_commercial_res30,0.06496585240764433
218,B01_mean_3x3,0.06504408952832212
485,B11_mean_5x5,0.06522249261988776
688,albedo_mean_9x9,0.06536378455762751
264,building_height_res30_std_dev_3x3,0.06663187085791142
237,sentinel_2_awei_nsh_mean_3x3,0.06690493025048189
689,no2_july24_mean_9x9,0.06708874411391667
372,sentinel_2_ui_std_dev_3x3,0.06779780947669162
642,has_park_res30_distance_std_dev_5x5,0.06785129154254069
803,savi_std_dev_9x9,0.06810525031659445
