feature,data_type,n_distinct,n_missing,n_negative,n_zeros,count,mean,std,min,25%,50%,75%,max
Longitude,float64,10109 (90.03%),0 (0.00%),11229 (100.00%),0 (0.00%),11229.0,-73.93392662543681,0.02825290260481586,-73.99445667,-73.95570333,-73.93296833,-73.90964667,-73.87945833
Latitude,float64,9992 (88.98%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,40.80880021075608,0.023171384087466725,40.75879167,40.790905,40.81068833,40.824515,40.85949667
UHI Index,float64,595 (5.30%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,1.000001411991807,0.016238272864479427,0.956121565,0.988577288,1.000237307,1.011176088,1.046035939
aod55_mean_9x9,float64,68 (0.61%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.19146320569850353,0.0042786353833140535,0.1800989583333333,0.1893106995884773,0.1920715020576132,0.1952572016460905,0.1988941798941798
canopy_heigth_res10_mean_9x9,int64,11 (0.10%),0 (0.00%),0 (0.00%),8135 (72.45%),11229.0,0.6102057173390328,1.305522184658006,0.0,0.0,0.0,1.0,10.0
canopy_heigth_count_res10_mean_9x9,int64,59 (0.53%),0 (0.00%),0 (0.00%),4135 (36.82%),11229.0,6.000445275625612,9.37744623244115,0.0,0.0,2.0,8.0,66.0
canopy_heigth_res30_mean_9x9,int64,10 (0.09%),0 (0.00%),0 (0.00%),7022 (62.53%),11229.0,0.6880398966960548,1.2050320422490908,0.0,0.0,0.0,1.0,9.0
canopy_heigth_count_res30_mean_9x9,int64,9 (0.08%),0 (0.00%),0 (0.00%),10676 (95.08%),11229.0,0.10196811826520616,0.5952434743717749,0.0,0.0,0.0,0.0,8.0
canopy_heigth_res5_mean_9x9,int64,13 (0.12%),0 (0.00%),0 (0.00%),8766 (78.07%),11229.0,0.5672811470300115,1.4145416064249725,0.0,0.0,0.0,0.0,12.0
canopy_heigth_count_res5_mean_9x9,int64,17 (0.15%),0 (0.00%),0 (0.00%),6913 (61.56%),11229.0,1.5372695698637457,2.734897199192448,0.0,0.0,0.0,2.0,16.0
