feature,data_type,n_distinct,n_missing,n_negative,n_zeros,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Longitude,float64,10109 (90.03%),0 (0.00%),11229 (100.00%),0 (0.00%),11229.0,,,,-73.93392662543681,0.02825290260481586,-73.99445667,-73.95570333,-73.93296833,-73.90964667,-73.87945833
Latitude,float64,9992 (88.98%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,,,,40.80880021075608,0.023171384087466725,40.75879167,40.790905,40.81068833,40.824515,40.85949667
datetime,object,59 (0.53%),0 (0.00%),0 (0%),0 (0.00%),11229.0,59.0,24-07-2021 15:55,317.0,,,,,,,
UHI Index,float64,595 (5.30%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,,,,1.000001411991807,0.016238272864479427,0.956121565,0.988577288,1.000237307,1.011176088,1.046035939
aod47,float64,52 (0.46%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,,,,0.26490056995280076,0.02638878521396511,0.204,0.246,0.2585,0.284,0.315
aod55,float64,42 (0.37%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,,,,0.19102404488378305,0.01921579659976211,0.147,0.1775,0.186,0.205,0.228
building_height_res100,float64,1209 (10.77%),0 (0.00%),0 (0.00%),872 (7.77%),11229.0,,,,69.12189944242586,59.98124602863532,0.0,37.346924,56.23,84.115,715.0
building_height_std_res100,float64,1132 (10.08%),0 (0.00%),872 (7.77%),756 (6.73%),11229.0,,,,27.343574936256122,33.135867367656516,-1.0,6.387739,16.89189,36.632874,312.745
building_year_res100,float64,900 (8.01%),0 (0.00%),0 (0.00%),872 (7.77%),11229.0,,,,1787.3803898477156,519.1867703508569,0.0,1917.4,1931.0,1949.7778,2020.0
building_area_res100,float64,1234 (10.99%),0 (0.00%),0 (0.00%),872 (7.77%),11229.0,,,,21718.597022685495,13121.157562286437,0.0,11785.445,22781.844,31265.854,66706.945
building_height_res30,float64,2269 (20.21%),0 (0.00%),0 (0.00%),3519 (31.34%),11229.0,,,,54.6392853943361,68.97361572370292,0.0,0.0,41.927525,68.295,715.0
