feature,data_type,n_distinct,n_missing,n_negative,n_zeros,count,mean,std,min,25%,50%,75%,max
aod55,float64,42 (0.37%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.19102404488378305,0.01921579659976211,0.147,0.1775,0.186,0.205,0.228
building_height_res100,float64,1209 (10.77%),0 (0.00%),0 (0.00%),872 (7.77%),11229.0,69.12189944242586,59.98124602863532,0.0,37.346924,56.23,84.115,715.0
building_height_std_res100,float64,1132 (10.08%),0 (0.00%),872 (7.77%),756 (6.73%),11229.0,27.343574936256122,33.135867367656516,-1.0,6.387739,16.89189,36.632874,312.745
building_year_res100,float64,900 (8.01%),0 (0.00%),0 (0.00%),872 (7.77%),11229.0,1787.3803898477156,519.1867703508569,0.0,1917.4,1931.0,1949.7778,2020.0
building_height_res30,float64,2269 (20.21%),0 (0.00%),0 (0.00%),3519 (31.34%),11229.0,54.6392853943361,68.97361572370292,0.0,0.0,41.927525,68.295,715.0
building_height_std_res30,float64,1327 (11.82%),0 (0.00%),3519 (31.34%),3814 (33.97%),11229.0,6.006355294703357,18.71785424948393,-1.0,-1.0,0.0,2.9531999,312.745
building_year_res30,float64,487 (4.34%),0 (0.00%),0 (0.00%),3519 (31.34%),11229.0,1331.328494906047,899.8262800132354,0.0,0.0,1920.0,1942.0,2020.0
var_res100,float64,1225 (10.91%),11 (0.10%),0 (0.00%),871 (7.76%),11218.0,1.7239682275860226,1.4553483436421435,0.0,0.9370196,1.4256881,2.1626086,18.747013
building_area_per_pixel_res100,float64,1234 (10.99%),0 (0.00%),0 (0.00%),872 (7.77%),11229.0,0.20177068943871,0.12189852799310645,0.0,0.109489456,0.2116485,0.29046687,0.61972266
var_res30,float64,2339 (20.83%),862 (7.68%),0 (0.00%),3328 (29.64%),10367.0,1.3085376610292274,1.6227952428155308,0.0,0.0,0.96428573,1.8998333,14.925
building_area_per_pixel_res30,float64,2834 (25.24%),0 (0.00%),0 (0.00%),3519 (31.34%),11229.0,0.11601382772726344,0.15105701129994162,0.0,0.0,0.04478675,0.19538428,0.7537917
canopy_heigth,int64,27 (0.24%),0 (0.00%),0 (0.00%),9730 (86.65%),11229.0,0.6148365838454003,2.3021490599796315,0.0,0.0,0.0,0.0,28.0
canopy_heigth_res10,int64,24 (0.21%),0 (0.00%),0 (0.00%),9352 (83.28%),11229.0,0.633538160121115,2.0927251451237794,0.0,0.0,0.0,0.0,26.0
canopy_heigth_count_res10,int64,2 (0.02%),0 (0.00%),0 (0.00%),10703 (95.32%),11229.0,3.7942826609671387,17.11626141383852,0.0,0.0,0.0,0.0,81.0
canopy_heigth_res30,int64,17 (0.15%),0 (0.00%),0 (0.00%),8150 (72.58%),11229.0,0.7645382491762401,1.7690245141425132,0.0,0.0,0.0,1.0,17.0
canopy_heigth_count_res30,int64,2 (0.02%),0 (0.00%),0 (0.00%),11187 (99.63%),11229.0,0.059845044082286934,0.9767416427915598,0.0,0.0,0.0,0.0,16.0
canopy_heigth_res5,int64,26 (0.23%),0 (0.00%),0 (0.00%),9637 (85.82%),11229.0,0.6142131979695431,2.2272635335017967,0.0,0.0,0.0,0.0,28.0
canopy_heigth_count_res5,int64,2 (0.02%),0 (0.00%),0 (0.00%),10183 (90.68%),11229.0,1.4904265740493365,4.650524684503327,0.0,0.0,0.0,0.0,16.0
co_july24,float64,30 (0.27%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.04740206665644869,0.0006911463057485652,0.0467937812208931,0.0469161500505187,0.0474413186311521,0.047441318631171,0.0525356840203273
hcho_july24,float64,27 (0.24%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.0001688385993203773,4.77870380508478e-05,3.409722194190558e-05,0.0001412674173479,0.000141267417348,0.0002067688474198,0.0004352024387801
coastal,float64,2534 (22.57%),0 (0.00%),15 (0.13%),0 (0.00%),11229.0,0.09562132647608865,0.03747697612598635,-0.0361275,0.0719475,0.09271,0.114435,0.3647125
lwir11,float64,1999 (17.80%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,36.88896153812986,2.4717023088649355,27.70237454000005,35.66294312000002,37.15661785999998,38.43837536000001,47.57816084000001
landsat_8_arvi,float64,3708 (33.02%),0 (0.00%),2998 (26.70%),3 (0.03%),11229.0,0.15117288841556512,0.2256636027754888,-0.1497933151884271,-0.0047415496237756,0.0755919703059854,0.2238531499797599,0.922136186214324
landsat_8_ndwi,float64,3708 (33.02%),0 (0.00%),11217 (99.89%),0 (0.00%),11229.0,-0.26613426249753297,0.17508050444139017,-0.8477104360363945,-0.3288626077764196,-0.2130010247229125,-0.1455303117808561,0.0764718661742339
landsat_8_awei_nsh,float64,3683 (32.80%),0 (0.00%),11229 (100.00%),0 (0.00%),11229.0,-0.8141527288716716,0.21402178321776794,-3.363059375,-0.921746875,-0.7845699999999999,-0.6740062499999999,-0.1671124999999999
landsat_8_awei_sh,float64,3676 (32.74%),0 (0.00%),2294 (20.43%),0 (0.00%),11229.0,0.11467010714444739,0.16488183429923112,-0.6645149999999997,0.010630625,0.071419375,0.1662668750000001,0.8417150000000002
landsat_8_si,float64,3708 (33.02%),0 (0.00%),1 (0.01%),0 (0.00%),11229.0,0.32167158741707047,0.12400078241687269,-0.0332875828662129,0.2420292466952008,0.2907488986157817,0.3662288756584182,0.9638199867223576
landsat_8_ndbi,float64,3708 (33.02%),0 (0.00%),6779 (60.37%),2 (0.02%),11229.0,-0.051313758874126036,0.1199648039165982,-0.4788953265342309,-0.0994343711771458,-0.0207483618051936,0.0286104296070501,0.3067134398852688
